[2016-10-17 15:36:50.908] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 15:36:52.678] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 15:36:52.683] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 15:36:52.688] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 15:36:52.694] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 15:36:52.699] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 15:36:52.703] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 16:01:51.527] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 16:01:51.534] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 16:01:51.540] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 16:01:51.549] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 16:01:51.561] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 16:01:51.569] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 16:02:07.753] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 16:02:07.763] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 16:02:07.769] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/qizheng-aimi/818-6735/assets/wakeup.param
[2016-10-17 16:02:07.773] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yidonghulian-aimi/Q30S-6735P/assets/wakeup.param
[2016-10-17 16:02:07.780] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/yitu-aimi/T6-8735P/assets/wakeup.param
[2016-10-17 16:02:07.786] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/zushihui-aimi/V3-6735/assets/wakeup.param
[2016-10-17 16:02:26.832] [INFO] dateFileLog -  写入wakeupFile ok src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 17:11:23.982] [INFO] dateFileLog - app start
[2016-10-17 17:11:24.063] [INFO] dateFileLog - app listening at  9990
[2016-10-17 17:11:47.139] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/aios.provision
[2016-10-17 17:11:47.139] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/config.properties
[2016-10-17 17:11:47.140] [INFO] dateFileLog - readFolder file src/unzip/diyixianchang-aimi/D687-6735P/assets/wakeup.param
[2016-10-17 17:11:47.140] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/aios.provision
[2016-10-17 17:11:47.140] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/config.properties
[2016-10-17 17:11:47.140] [INFO] dateFileLog - readFolder file src/unzip/lintu-aimi/V9-6735/assets/wakeup.param
[2016-10-17 17:11:47.140] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/aios.provision
[2016-10-17 17:11:47.140] [INFO] dateFileLog - readFolder file src/unzip/qizheng-aimi/818-6735/assets/config.properties
